Date,Avg_Temperature,Day,Season
2020-01-01,3.8,Wednesday,Winter
2020-01-02,6.3,Thursday,Winter
2020-01-03,5.9,Friday,Winter
2020-01-04,2.3,Saturday,Winter
2020-01-05,0.0,Sunday,Winter
2020-01-06,5.0,Monday,Winter
2020-01-07,5.4,Tuesday,Winter
2020-01-08,6.9,Wednesday,Winter
2020-01-09,2.7,Thursday,Winter
2020-01-10,-0.2,Friday,Winter
2020-01-11,-0.4,Saturday,Winter
2020-01-12,6.2,Sunday,Winter
2020-01-13,2.2,Monday,Winter
2020-01-14,3.9,Tuesday,Winter
2020-01-15,7.4,Wednesday,Winter
2020-01-16,6.4,Thursday,Winter
2020-01-17,4.7,Friday,Winter
2020-01-18,4.8,Saturday,Winter
2020-01-19,3.2,Sunday,Winter
2020-01-20,3.7,Monday,Winter
2020-01-21,6.9,Tuesday,Winter
2020-01-22,3.4,Wednesday,Winter
2020-01-23,1.5,Thursday,Winter
2020-01-24,5.6,Friday,Winter
2020-01-25,2.2,Saturday,Winter
2020-01-26,6.0,Sunday,Winter
2020-01-27,4.9,Monday,Winter
2020-01-28,3.7,Tuesday,Winter
2020-01-29,3.2,Wednesday,Winter
2020-01-30,0.9,Thursday,Winter
2020-01-31,2.7,Friday,Winter
2020-02-01,5.7,Saturday,Winter
2020-02-02,4.1,Sunday,Winter
2020-02-03,-0.9,Monday,Winter
2020-02-04,-2.6,Tuesday,Winter
2020-02-05,0.4,Wednesday,Winter
2020-02-06,0.3,Thursday,Winter
2020-02-07,-1.3,Friday,Winter
2020-02-08,2.6,Saturday,Winter
2020-02-09,4.5,Sunday,Winter
2020-02-10,6.0,Monday,Winter
2020-02-11,3.7,Tuesday,Winter
2020-02-12,3.0,Wednesday,Winter
2020-02-13,0.8,Thursday,Winter
2020-02-14,-1.3,Friday,Winter
2020-02-15,3.6,Saturday,Winter
2020-02-16,7.0,Sunday,Winter
2020-02-17,6.2,Monday,Winter
2020-02-18,6.8,Tuesday,Winter
2020-02-19,4.1,Wednesday,Winter
2020-02-20,1.0,Thursday,Winter
2020-02-21,5.8,Friday,Winter
2020-02-22,6.3,Saturday,Winter
2020-02-23,5.2,Sunday,Winter
2020-02-24,1.3,Monday,Winter
2020-02-25,0.0,Tuesday,Winter
2020-02-26,0.2,Wednesday,Winter
2020-02-27,-1.2,Thursday,Winter
2020-02-28,-1.2,Friday,Winter
2020-02-29,1.2,Saturday,Winter
2020-03-01,3.8,Sunday,Spring
2020-03-02,4.3,Monday,Spring
2020-03-03,3.8,Tuesday,Spring
2020-03-04,2.1,Wednesday,Spring
2020-03-05,1.4,Thursday,Spring
2020-03-06,0.9,Friday,Spring
2020-03-07,1.3,Saturday,Spring
2020-03-08,3.8,Sunday,Spring
2020-03-09,6.6,Monday,Spring
2020-03-10,4.8,Tuesday,Spring
2020-03-11,4.7,Wednesday,Spring
2020-03-12,3.8,Thursday,Spring
2020-03-13,1.9,Friday,Spring
2020-03-14,-1.2,Saturday,Spring
2020-03-15,3.5,Sunday,Spring
2020-03-16,3.7,Monday,Spring
2020-03-17,5.3,Tuesday,Spring
2020-03-18,6.2,Wednesday,Spring
2020-03-19,5.3,Thursday,Spring
2020-03-20,1.1,Friday,Spring
2020-03-21,-0.4,Saturday,Spring
2020-03-22,-0.9,Sunday,Spring
2020-03-23,2.2,Monday,Spring
2020-03-24,4.3,Tuesday,Spring
2020-03-25,7.2,Wednesday,Spring
2020-03-26,6.1,Thursday,Spring
2020-03-27,3.9,Friday,Spring
2020-03-28,3.9,Saturday,Spring
2020-03-29,0.9,Sunday,Spring
2020-03-30,-0.5,Monday,Spring
2020-03-31,1.2,Tuesday,Spring
2020-04-01,6.3,Wednesday,Spring
2020-04-02,5.6,Thursday,Spring
2020-04-03,3.0,Friday,Spring
2020-04-04,1.9,Saturday,Spring
2020-04-05,4.2,Sunday,Spring
2020-04-06,8.5,Monday,Spring
2020-04-07,6.8,Tuesday,Spring
2020-04-08,8.7,Wednesday,Spring
2020-04-09,8.3,Thursday,Spring
2020-04-10,5.4,Friday,Spring
2020-04-11,5.0,Saturday,Spring
2020-04-12,8.5,Sunday,Spring
2020-04-13,4.4,Monday,Spring
2020-04-14,4.9,Tuesday,Spring
2020-04-15,9.3,Wednesday,Spring
2020-04-16,8.4,Thursday,Spring
2020-04-17,6.1,Friday,Spring
2020-04-18,5.1,Saturday,Spring
2020-04-19,7.4,Sunday,Spring
2020-04-20,10.0,Monday,Spring
2020-04-21,10.7,Tuesday,Spring
2020-04-22,11.0,Wednesday,Spring
2020-04-23,10.7,Thursday,Spring
2020-04-24,7.9,Friday,Spring
2020-04-25,7.8,Saturday,Spring
2020-04-26,7.2,Sunday,Spring
2020-04-27,4.4,Monday,Spring
2020-04-28,2.7,Tuesday,Spring
2020-04-29,2.9,Wednesday,Spring
2020-04-30,3.5,Thursday,Spring
2020-05-01,6.9,Friday,Spring
2020-05-02,9.8,Saturday,Spring
2020-05-03,9.5,Sunday,Spring
2020-05-04,6.2,Monday,Spring
2020-05-05,7.5,Tuesday,Spring
2020-05-06,8.8,Wednesday,Spring
2020-05-07,8.4,Thursday,Spring
2020-05-08,10.7,Friday,Spring
2020-05-09,8.8,Saturday,Spring
2020-05-10,9.9,Sunday,Spring
2020-05-11,4.4,Monday,Spring
2020-05-12,4.7,Tuesday,Spring
2020-05-13,3.8,Wednesday,Spring
2020-05-14,4.9,Thursday,Spring
2020-05-15,8.0,Friday,Spring
2020-05-16,7.7,Saturday,Spring
2020-05-17,7.5,Sunday,Spring
2020-05-18,7.5,Monday,Spring
2020-05-19,8.4,Tuesday,Spring
2020-05-20,8.0,Wednesday,Spring
2020-05-21,10.3,Thursday,Spring
2020-05-22,11.2,Friday,Spring
2020-05-23,9.4,Saturday,Spring
2020-05-24,12.1,Sunday,Spring
2020-05-25,12.2,Monday,Spring
2020-05-26,14.8,Tuesday,Spring
2020-05-27,13.4,Wednesday,Spring
2020-05-28,11.6,Thursday,Spring
2020-05-29,12.3,Friday,Spring
2020-05-30,13.5,Saturday,Spring
2020-05-31,15.6,Sunday,Spring
2020-06-01,19.2,Monday,Summer
2020-06-02,15.2,Tuesday,Summer
2020-06-03,13.6,Wednesday,Summer
2020-06-04,14.1,Thursday,Summer
2020-06-05,14.0,Friday,Summer
2020-06-06,12.5,Saturday,Summer
2020-06-07,14.6,Sunday,Summer
2020-06-08,15.1,Monday,Summer
2020-06-09,16.0,Tuesday,Summer
2020-06-10,16.7,Wednesday,Summer
2020-06-11,17.6,Thursday,Summer
2020-06-12,18.8,Friday,Summer
2020-06-13,18.6,Saturday,Summer
2020-06-14,18.6,Sunday,Summer
2020-06-15,18.6,Monday,Summer
2020-06-16,16.0,Tuesday,Summer
2020-06-17,15.3,Wednesday,Summer
2020-06-18,18.2,Thursday,Summer
2020-06-19,20.3,Friday,Summer
2020-06-20,20.3,Saturday,Summer
2020-06-21,19.0,Sunday,Summer
2020-06-22,18.4,Monday,Summer
2020-06-23,20.6,Tuesday,Summer
2020-06-24,23.0,Wednesday,Summer
2020-06-25,23.7,Thursday,Summer
2020-06-26,22.7,Friday,Summer
2020-06-27,23.2,Saturday,Summer
2020-06-28,23.4,Sunday,Summer
2020-06-29,20.3,Monday,Summer
2020-06-30,16.2,Tuesday,Summer
2020-07-01,15.8,Wednesday,Summer
2020-07-02,16.8,Thursday,Summer
2020-07-03,16.4,Friday,Summer
2020-07-04,14.8,Saturday,Summer
2020-07-05,16.0,Sunday,Summer
2020-07-06,15.3,Monday,Summer
2020-07-07,15.3,Tuesday,Summer
2020-07-08,11.3,Wednesday,Summer
2020-07-09,14.7,Thursday,Summer
2020-07-10,14.6,Friday,Summer
2020-07-11,15.0,Saturday,Summer
2020-07-12,14.2,Sunday,Summer
2020-07-13,14.4,Monday,Summer
2020-07-14,16.6,Tuesday,Summer
2020-07-15,16.8,Wednesday,Summer
2020-07-16,19.1,Thursday,Summer
2020-07-17,19.6,Friday,Summer
2020-07-18,19.8,Saturday,Summer
2020-07-19,21.3,Sunday,Summer
2020-07-20,19.7,Monday,Summer
2020-07-21,15.9,Tuesday,Summer
2020-07-22,15.9,Wednesday,Summer
2020-07-23,15.1,Thursday,Summer
2020-07-24,16.4,Friday,Summer
2020-07-25,16.7,Saturday,Summer
2020-07-26,17.8,Sunday,Summer
2020-07-27,18.8,Monday,Summer
2020-07-28,16.8,Tuesday,Summer
2020-07-29,15.6,Wednesday,Summer
2020-07-30,16.4,Thursday,Summer
2020-07-31,17.5,Friday,Summer
2020-08-01,18.7,Saturday,Summer
2020-08-02,19.2,Sunday,Summer
2020-08-03,17.6,Monday,Summer
2020-08-04,17.1,Tuesday,Summer
2020-08-05,16.7,Wednesday,Summer
2020-08-06,19.5,Thursday,Summer
2020-08-07,21.8,Friday,Summer
2020-08-08,23.0,Saturday,Summer
2020-08-09,20.0,Sunday,Summer
2020-08-10,18.4,Monday,Summer
2020-08-11,16.6,Tuesday,Summer
2020-08-12,18.3,Wednesday,Summer
2020-08-13,19.5,Thursday,Summer
2020-08-14,21.4,Friday,Summer
2020-08-15,22.5,Saturday,Summer
2020-08-16,21.6,Sunday,Summer
2020-08-17,21.2,Monday,Summer
2020-08-18,21.8,Tuesday,Summer
2020-08-19,21.0,Wednesday,Summer
2020-08-20,20.0,Thursday,Summer
2020-08-21,20.7,Friday,Summer
2020-08-22,21.5,Saturday,Summer
2020-08-23,18.6,Sunday,Summer
2020-08-24,16.7,Monday,Summer
2020-08-25,15.0,Tuesday,Summer
2020-08-26,14.7,Wednesday,Summer
2020-08-27,14.9,Thursday,Summer
2020-08-28,13.7,Friday,Summer
2020-08-29,13.3,Saturday,Summer
2020-08-30,14.8,Sunday,Summer
2020-08-31,11.8,Monday,Summer
2020-09-01,14.9,Tuesday,Autumn
2020-09-02,13.4,Wednesday,Autumn
2020-09-03,16.4,Thursday,Autumn
2020-09-04,15.8,Friday,Autumn
2020-09-05,14.8,Saturday,Autumn
2020-09-06,12.7,Sunday,Autumn
2020-09-07,12.4,Monday,Autumn
2020-09-08,14.8,Tuesday,Autumn
2020-09-09,14.1,Wednesday,Autumn
2020-09-10,12.0,Thursday,Autumn
2020-09-11,12.2,Friday,Autumn
2020-09-12,13.3,Saturday,Autumn
2020-09-13,13.5,Sunday,Autumn
2020-09-14,15.5,Monday,Autumn
2020-09-15,15.1,Tuesday,Autumn
2020-09-16,13.0,Wednesday,Autumn
2020-09-17,10.4,Thursday,Autumn
2020-09-18,11.6,Friday,Autumn
2020-09-19,10.4,Saturday,Autumn
2020-09-20,10.0,Sunday,Autumn
2020-09-21,14.3,Monday,Autumn
2020-09-22,12.9,Tuesday,Autumn
2020-09-23,12.7,Wednesday,Autumn
2020-09-24,14.3,Thursday,Autumn
2020-09-25,12.7,Friday,Autumn
2020-09-26,15.0,Saturday,Autumn
2020-09-27,15.1,Sunday,Autumn
2020-09-28,13.8,Monday,Autumn
2020-09-29,13.8,Tuesday,Autumn
2020-09-30,12.8,Wednesday,Autumn
2020-10-01,12.3,Thursday,Autumn
2020-10-02,13.7,Friday,Autumn
2020-10-03,13.6,Saturday,Autumn
2020-10-04,14.1,Sunday,Autumn
2020-10-05,14.4,Monday,Autumn
2020-10-06,13.3,Tuesday,Autumn
2020-10-07,13.1,Wednesday,Autumn
2020-10-08,12.6,Thursday,Autumn
2020-10-09,11.4,Friday,Autumn
2020-10-10,9.8,Saturday,Autumn
2020-10-11,8.1,Sunday,Autumn
2020-10-12,8.5,Monday,Autumn
2020-10-13,6.7,Tuesday,Autumn
2020-10-14,6.8,Wednesday,Autumn
2020-10-15,7.3,Thursday,Autumn
2020-10-16,6.3,Friday,Autumn
2020-10-17,6.7,Saturday,Autumn
2020-10-18,5.2,Sunday,Autumn
2020-10-19,3.5,Monday,Autumn
2020-10-20,2.6,Tuesday,Autumn
2020-10-21,8.9,Wednesday,Autumn
2020-10-22,11.1,Thursday,Autumn
2020-10-23,5.0,Friday,Autumn
2020-10-24,4.4,Saturday,Autumn
2020-10-25,8.9,Sunday,Autumn
2020-10-26,11.1,Monday,Autumn
2020-10-27,9.9,Tuesday,Autumn
2020-10-28,8.8,Wednesday,Autumn
2020-10-29,7.8,Thursday,Autumn
2020-10-30,4.2,Friday,Autumn
2020-10-31,7.2,Saturday,Autumn
2020-11-01,9.8,Sunday,Autumn
2020-11-02,12.8,Monday,Autumn
2020-11-03,10.0,Tuesday,Autumn
2020-11-04,6.6,Wednesday,Autumn
2020-11-05,8.5,Thursday,Autumn
2020-11-06,10.6,Friday,Autumn
2020-11-07,8.8,Saturday,Autumn
2020-11-08,6.6,Sunday,Autumn
2020-11-09,6.3,Monday,Autumn
2020-11-10,5.1,Tuesday,Autumn
2020-11-11,7.0,Wednesday,Autumn
2020-11-12,6.9,Thursday,Autumn
2020-11-13,7.0,Friday,Autumn
2020-11-14,7.8,Saturday,Autumn
2020-11-15,8.5,Sunday,Autumn
2020-11-16,10.2,Monday,Autumn
2020-11-17,9.1,Tuesday,Autumn
2020-11-18,12.3,Wednesday,Autumn
2020-11-19,6.6,Thursday,Autumn
2020-11-20,1.8,Friday,Autumn
2020-11-21,3.6,Saturday,Autumn
2020-11-22,7.0,Sunday,Autumn
2020-11-23,5.3,Monday,Autumn
2020-11-24,4.5,Tuesday,Autumn
2020-11-25,8.4,Wednesday,Autumn
2020-11-26,5.7,Thursday,Autumn
2020-11-27,0.3,Friday,Autumn
2020-11-28,0.9,Saturday,Autumn
2020-11-29,-0.4,Sunday,Autumn
2020-11-30,-0.1,Monday,Autumn
2020-12-01,2.2,Tuesday,Winter
2020-12-02,3.0,Wednesday,Winter
2020-12-03,3.3,Thursday,Winter
2020-12-04,4.0,Friday,Winter
2020-12-05,6.6,Saturday,Winter
2020-12-06,7.5,Sunday,Winter
2020-12-07,4.9,Monday,Winter
2020-12-08,3.0,Tuesday,Winter
2020-12-09,2.4,Wednesday,Winter
2020-12-10,2.5,Thursday,Winter
2020-12-11,3.0,Friday,Winter
2020-12-12,4.8,Saturday,Winter
2020-12-13,2.9,Sunday,Winter
2020-12-14,2.0,Monday,Winter
2020-12-15,6.2,Tuesday,Winter
2020-12-16,5.6,Wednesday,Winter
2020-12-17,4.8,Thursday,Winter
2020-12-18,5.7,Friday,Winter
2020-12-19,6.1,Saturday,Winter
2020-12-20,6.1,Sunday,Winter
2020-12-21,6.0,Monday,Winter
2020-12-22,4.7,Tuesday,Winter
2020-12-23,4.2,Wednesday,Winter
2020-12-24,-1.4,Thursday,Winter
2020-12-25,-0.5,Friday,Winter
2020-12-26,-1.1,Saturday,Winter
2020-12-27,4.3,Sunday,Winter
2020-12-28,3.9,Monday,Winter
2020-12-29,4.6,Tuesday,Winter
2020-12-30,2.0,Wednesday,Winter
2020-12-31,2.9,Thursday,Winter
